iter	Passed	Remaining
468	713	808
469	714	805
470	715	803
471	716	801
472	717	799
473	718	797
474	719	795
475	721	793
476	722	792
477	723	790
478	725	789
479	727	787
480	728	785
481	729	783
482	730	781
483	731	779
484	732	777
485	733	775
486	734	773
487	735	771
488	736	769
489	738	768
490	739	766
491	740	764
492	741	762
493	742	760
494	743	758
495	744	756
496	745	754
497	746	752
498	747	750
499	748	748
500	749	746
501	750	744
502	751	742
503	752	740
504	754	739
505	755	737
506	756	735
507	757	733
508	758	731
509	759	729
510	760	727
511	761	725
512	762	723
513	763	721
514	764	719
515	765	718
516	766	716
517	767	714
518	768	712
519	770	710
520	771	708
521	772	707
522	773	705
523	773	703
524	774	701
525	776	699
526	777	697
527	778	695
528	779	693
529	780	691
530	781	690
531	782	688
532	783	686
533	784	684
534	785	682
535	786	680
536	787	679
537	788	677
538	789	675
539	790	673
540	791	671
541	792	670
542	794	668
543	795	666
544	796	664
545	797	663
546	799	662
547	800	660
548	801	658
549	802	656
550	803	654
551	804	653
552	806	652
553	810	652
554	812	651
555	814	650
556	815	648
557	817	647
558	818	645
559	819	644
560	820	642
561	822	640
562	825	640
563	826	638
564	828	637
565	829	636
566	830	634
567	832	632
568	833	631
569	834	629
570	836	628
571	837	626
572	839	625
573	841	624
574	843	623
575	844	621
576	845	620
577	847	618
578	848	616
579	849	615
580	850	613
581	852	612
582	855	612
583	857	611
584	859	609
585	860	607
586	860	605
587	862	604
588	863	602
589	864	600
590	865	598
591	866	596
592	867	595
593	868	593
594	869	591
595	870	589
596	871	588
597	872	586
598	873	584
599	874	582
600	875	581
601	876	579
602	877	577
603	879	576
604	880	574
605	881	573
606	883	571
607	884	570
608	886	568
609	887	567
610	888	565
611	889	564
612	890	562
613	891	560
614	892	558
615	893	557
616	894	555
617	895	553
618	896	551
619	897	550
620	898	548
621	899	546
622	900	545
623	901	543
624	902	541
625	903	539
626	904	538
627	905	536
628	906	534
629	907	533
630	908	531
631	909	529
632	910	527
633	911	526
634	912	524
635	913	523
636	914	521
637	915	519
638	916	518
639	917	516
640	918	514
641	919	512
642	920	511
643	921	509
644	922	507
645	923	506
646	924	504
647	925	502
648	926	501
649	927	499
650	929	498
651	930	496
652	931	494
653	932	493
654	933	491
655	934	489
656	935	488
657	936	486
658	937	485
659	938	483
660	939	481
661	940	480
662	941	478
663	942	476
664	944	475
665	945	474
666	946	472
667	947	470
668	948	469
669	949	467
670	950	465
671	951	464
672	952	462
673	953	461
674	954	459
675	955	457
676	955	456
677	957	454
678	958	453
679	959	451
680	960	449
681	961	448
682	962	446
683	963	445
684	964	443
685	965	441
686	966	440
687	967	438
688	968	437
689	969	435
690	970	433
691	971	432
692	972	430
693	973	429
694	974	427
695	975	426
696	976	424
697	977	423
698	978	421
699	979	419
700	980	418
701	981	416
702	982	415
703	983	413
704	984	412
705	985	410
706	987	409
707	988	407
708	990	406
709	991	404
710	992	403
711	993	401
712	994	400
713	995	398
714	996	397
715	997	395
716	998	393
717	998	392
718	1000	390
719	1002	389
720	1003	388
721	1003	386
722	1005	385
723	1006	383
724	1007	382
725	1008	380
726	1009	379
727	1010	377
728	1011	375
729	1012	374
730	1013	372
731	1014	371
732	1015	370
733	1017	368
734	1018	367
735	1020	365
736	1021	364
737	1022	362
738	1023	361
739	1024	359
740	1025	358
741	1025	356
742	1026	355
743	1027	353
744	1028	352
745	1030	350
746	1031	349
747	1032	347
748	1034	346
749	1035	345
750	1036	343
751	1037	342
752	1038	340
753	1039	339
754	1040	337
755	1041	336
756	1042	334
757	1043	333
758	1044	331
759	1047	330
760	1048	329
761	1050	328
762	1051	326
763	1052	324
764	1052	323
765	1053	321
766	1054	320
767	1056	319
768	1056	317
769	1057	316
770	1058	314
771	1060	313
772	1061	311
773	1062	310
774	1064	308
775	1065	307
776	1065	305
777	1066	304
778	1067	302
779	1068	301
780	1069	299
781	1070	298
782	1071	297
783	1072	295
784	1073	294
785	1074	292
786	1076	291
787	1077	289
788	1078	288
789	1079	287
790	1080	285
791	1082	284
792	1083	282
793	1084	281
794	1085	279
795	1086	278
796	1087	276
797	1088	275
798	1090	274
799	1091	272
800	1092	271
801	1093	270
802	1095	268
803	1096	267
804	1097	265
805	1098	264
806	1099	262
807	1100	261
808	1101	260
809	1102	258
810	1103	257
811	1104	255
812	1105	254
813	1107	252
814	1107	251
815	1108	250
816	1109	248
817	1110	247
818	1111	245
819	1112	244
820	1113	242
821	1114	241
822	1115	239
823	1117	238
824	1119	237
825	1120	236
826	1121	234
827	1123	233
828	1124	231
829	1125	230
830	1126	228
831	1127	227
832	1127	226
833	1128	224
834	1129	223
835	1130	221
836	1132	220
837	1134	219
838	1135	217
839	1137	216
840	1138	215
841	1139	213
842	1140	212
843	1141	210
844	1142	209
845	1143	208
846	1144	206
847	1144	205
848	1145	203
849	1146	202
850	1148	201
851	1150	199
852	1151	198
853	1152	196
854	1153	195
855	1154	194
856	1155	192
857	1156	191
858	1157	189
859	1158	188
860	1159	187
861	1160	185
862	1161	184
863	1163	183
864	1164	181
865	1165	180
866	1166	178
867	1167	177
868	1168	176
869	1169	174
870	1170	173
871	1171	172
872	1172	170
873	1173	169
874	1174	167
875	1175	166
876	1176	165
877	1178	163
878	1180	162
879	1181	161
880	1182	159
881	1183	158
882	1184	156
883	1185	155
884	1186	154
885	1187	152
886	1188	151
887	1189	149
888	1190	148
889	1191	147
890	1192	145
891	1194	144
892	1195	143
893	1196	141
894	1197	140
895	1198	139
896	1199	137
897	1200	136
898	1201	134
899	1202	133
900	1203	132
901	1204	130
902	1205	129
903	1207	128
904	1209	126
905	1210	125
906	1211	124
907	1212	122
908	1213	121
909	1214	120
910	1215	118
911	1216	117
912	1217	116
913	1218	114
914	1219	113
915	1221	111
916	1222	110
917	1225	109
918	1226	108
919	1227	106
920	1228	105
921	1229	103
922	1229	102
923	1231	101
924	1232	99
925	1232	98
926	1234	97
927	1235	95
928	1236	94
929	1238	93
930	1239	91
931	1240	90
932	1241	89
933	1242	87
934	1243	86
935	1244	85
936	1245	83
937	1246	82
938	1247	81
939	1248	79
940	1249	78
941	1251	77
942	1252	75
943	1254	74
944	1255	73
945	1256	71
946	1257	70
947	1258	69
948	1259	67
949	1260	66
950	1261	65
951	1262	63
952	1263	62
953	1264	60
954	1266	59
955	1268	58
956	1269	57
957	1270	55
958	1271	54
959	1272	53
960	1273	51
961	1274	50
962	1275	48
963	1275	47
964	1277	46
965	1278	44
966	1279	43
967	1280	42
968	1282	41
969	1283	39
970	1284	38
971	1285	37
972	1286	35
973	1287	34
974	1288	33
975	1289	31
976	1290	30
977	1291	29
978	1292	27
979	1294	26
980	1295	25
981	1297	23
982	1298	22
983	1299	21
984	1300	19
985	1301	18
986	1302	17
987	1303	15
988	1304	14
989	1305	13
990	1306	11
991	1308	10
992	1309	9
993	1310	7
994	1312	6
995	1313	5
996	1314	3
997	1316	2
998	1316	1
999	1317	0
